City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
183,iqaluit,63.7506,-68.5145,-33.15,75,75,1.03,CA,1675813677
184,san quintin,30.4833,-115.95,16.85,46,0,4.49,MX,1675813163
185,limbang,4.75,115.0,24.06,92,99,0.9,MY,1675813678
186,ballina,-28.8667,153.5667,24.88,82,100,3.19,AU,1675813083
187,cabo san lucas,22.8909,-109.9124,25.61,59,40,5.14,MX,1675813136
188,santana,-0.0583,-51.1817,25.1,100,40,2.57,BR,1675813678
189,buraydah,26.326,43.975,10.25,41,100,2.92,SA,1675813679
190,iraquara,-12.2486,-41.6194,24.84,58,26,0.63,BR,1675813679
191,christchurch,-43.5333,172.6333,23.56,60,20,6.69,NZ,1675813677
192,millinocket,45.6573,-68.7098,-6.94,63,0,0.0,US,1675813680
193,seoul,37.5683,126.9778,-1.31,97,0,1.54,KR,1675813039
194,matara,5.9485,80.5353,23.26,92,69,2.12,LK,1675813680
195,raudeberg,61.9875,5.1352,6.37,75,51,13.91,NO,1675813120
196,bowen,-20.0167,148.2333,27.42,78,94,7.55,AU,1675813177
197,bredasdorp,-34.5322,20.0403,19.29,75,91,3.98,ZA,1675813681
198,sambava,-14.2667,50.1667,23.68,89,88,3.26,MG,1675813681
199,gat,31.61,34.7642,11.38,100,85,9.36,IL,1675813563
200,ribeira grande,38.5167,-28.7,12.65,67,57,3.58,PT,1675813682
201,coquimbo,-29.9533,-71.3436,17.85,88,100,3.6,CL,1675813683
202,chapais,49.7834,-74.8492,-6.12,95,100,4.93,CA,1675813250
203,kvitok,56.0724,98.4813,-10.56,97,100,1.43,RU,1675813684
204,moa,20.6569,-74.9403,23.95,83,7,7.66,CU,1675813685
205,york,40.1254,-77.0,5.81,66,0,3.6,US,1675813686
206,ephrata,40.1798,-76.1788,4.86,73,0,2.57,US,1675813686
207,hami,42.8,93.45,0.3,57,100,0.5,CN,1675813687
208,brasy,49.837,13.5783,-2.33,97,1,1.04,CZ,1675813687
209,aripuana,-9.1667,-60.6333,21.89,99,89,0.42,BR,1675813252
210,lasa,46.6166,10.7002,-3.88,76,8,0.35,IT,1675813137
211,qaanaaq,77.484,-69.3632,-31.31,65,77,2.55,GL,1675813688
212,avera,33.194,-82.5271,14.95,55,93,1.58,US,1675813688
213,tigil,57.8,158.6667,-21.63,94,100,3.69,RU,1675813691
214,dunedin,-45.8742,170.5036,15.36,52,56,7.33,NZ,1675813502
215,muyezerskiy,63.9333,31.65,-1.81,96,100,3.69,RU,1675813693
216,mar del plata,-38.0023,-57.5575,23.94,86,75,7.2,AR,1675813695
217,saint-augustin,51.226,-58.6502,-20.0,87,8,1.75,CA,1675813557
218,longyearbyen,78.2186,15.6401,-7.09,93,100,10.29,SJ,1675813697
219,tsalka,41.5946,44.0891,-8.66,84,100,4.03,GE,1675813697
220,qaqortoq,60.7167,-46.0333,-24.95,65,0,2.98,GL,1675813698
221,noumea,-22.2763,166.4572,31.11,99,88,3.53,NC,1675813699
222,alekseyevsk,57.8406,108.3492,-25.86,100,100,1.24,RU,1675813697
223,alofi,-19.0595,-169.9187,25.94,94,100,3.6,NU,1675813700
224,pemangkat,1.1667,108.9667,24.88,88,98,1.82,ID,1675813700
225,banda aceh,5.5577,95.3222,25.19,83,99,3.55,ID,1675813246
226,esperance,-33.8667,121.9,20.86,65,100,4.71,AU,1675813701
227,yar-sale,66.8333,70.8333,-18.04,89,99,7.39,RU,1675813701
228,rurrenabaque,-14.4413,-67.5278,23.27,98,89,0.15,BO,1675813704
229,vardo,70.3705,31.1107,-0.01,86,40,10.29,NO,1675813704
230,taitung,22.7583,121.1444,21.15,88,75,2.06,TW,1675813705
231,ahipara,-35.1667,173.1667,22.2,55,84,3.25,NZ,1675813705
232,kuusamo,65.9667,29.1833,-1.98,93,0,3.09,FI,1675813706
233,oriximina,-1.7656,-55.8661,24.46,92,99,0.96,BR,1675813706
234,visnes,59.3556,5.2242,7.03,93,100,5.14,NO,1675813706
235,nanortalik,60.1432,-45.2371,-15.74,71,32,8.94,GL,1675813710
236,dikson,73.5069,80.5464,-23.8,91,100,9.68,RU,1675813714
237,atambua,-9.1061,124.8925,25.87,78,64,0.98,ID,1675813717
238,kaitangata,-46.2817,169.8464,14.63,51,67,6.92,NZ,1675813717
239,baglung,28.2719,83.5898,7.63,53,30,2.8,NP,1675813717
